expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
作法,さほう,"manners, etiquette, propriety",JLPT JLPT_2 JLPT_3,HYeQ[!t+v+,"มารยาท, การวางตัว, ความเหมาะสม, กิริยา",食事の作法を習いました。,ฉันเรียนรู้วิธีการรับประทานอาหาร
様々,さまざま,"varied, various",JLPT JLPT_2 JLPT_3,l>?/o{CjV<,"หลากหลาย ต่างๆ, นานา, หลายชนิด, หลายอย่าง",様々 な花があります。,มีดอกไม้หลากหลายชนิด
冷ます,さます,"to cool, to let cool",JLPT JLPT_2 JLPT_3,m(o0n4^}Z$,"ทำให้เย็นลง, ปล่อยให้เย็นลง, คลายความร้อน, ทำให้หายร้อน",コーヒーを冷ましてください。,กรุณาทำให้กาแฟเย็นลงด้วย
覚ます,さます,to awaken,JLPT JLPT_2 JLPT_3,t9@aJ[u<UZ,"เพื่อปลุกให้ตื่น, ปลุก, ทำให้ตื่น, เรียกให้ตื่น",子供が起きました。もう覚ましました。,เด็กตื่นแล้ว ตื่นแล้ว
冷める,さめる,"to become cool, to wear off",JLPT JLPT_2 JLPT_3,LR.A;82:W|,"เพื่อให้เย็นลง เพื่อให้หมดฤทธิ์, เย็นลง, จางลง, ลดน้อยลง",熱が冷めました。,ไข้ลดลงแล้ว
覚める,さめる,"to wake, to wake up",JLPT JLPT_2 JLPT_3,Dob+O4(+<L,"ตื่น, ปลุกให้ตื่น, ลืมตา, ฟื้น",朝、早く覚めました。,ฉันตื่นแต่เช้า
左右,さゆう,left and right; influence,JLPT JLPT_2 JLPT_3,d8br}6f4&T,"ซ้ายและขวา; อิทธิพล, ด้านซ้ายขวา, การชักนำ, การมีผล",左右を見てください。,กรุณามองไปทางซ้ายและขวา
皿,さら,"plate, dish",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,p*f@mDk_ih,"จาน, ชาม, ภาชนะ, ถ้วย",この皿はきれいです。,จานใบนี้สวยงาม
更に,さらに,"furthermore, moreover",JLPT JLPT_2 JLPT_3,n=YLy+|9V>,"นอกจากนี้ ยิ่งไปกว่านั้น, เพิ่มเติมนอกจากนี้, ยิ่งไปกว่านั้นอีก, ยังอีกด้วย",さらに、本を読みます。,นอกจากนี้ ฉันจะอ่านหนังสือด้วย
去る,さる,"to leave, to go away",JLPT JLPT_2 JLPT_3,q:@^dVE|Ux,"จากไป, ออกเดินทาง, จากไปแล้ว, เคลื่อนไป",来月、友達が去ります。,เดือนหน้าเพื่อนจะจากไป
猿,さる,monkey,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,I;FmV}C|Mm,"ลิง, วานร, กัง, กะบี่",猿が木に登りました。,ลิงปีนขึ้นต้นไม้
騒ぎ,さわぎ,"uproar, disturbance",JLPT JLPT_2 JLPT_3,"b-,^J/-<a(","ความวุ่นวาย ความโกลาหล, ความไม่สงบ, ความชุลมุน, ความปั่นป่วน",外で騒ぎがあります。,มีเสียงอึกทึกข้างนอก
参加,さんか,participation,JLPT JLPT_2 JLPT_3,NJ??D?6U!^,"การมีส่วนร่วม, การเข้าร่วม, การร่วมมือ, การสมทบ",会議に私も参加します。,ฉันจะเข้าร่วมการประชุมด้วย
参考,さんこう,"reference, consultation",JLPT JLPT_2 JLPT_3,Han8<B?^r0,"การอ้างอิง การปรึกษาหารือ, การอ้างถึง, การขอคำแนะนำ, การเทียบเคียง",この本は参考になります。,หนังสือเล่มนี้มีประโยชน์ในการอ้างอิง
賛成,さんせい,"approval, agreement",JLPT JLPT_2 JLPT_3,"emfZ/!E,?[","การอนุมัติ ข้อตกลง, การเห็นด้วย, การยินยอม, การรับรอง",その意見に賛成です。,ฉันเห็นด้วยกับความคิดเห็นนั้น
酸性,さんせい,acidity,JLPT JLPT_2 JLPT_3,geVhjMXt@#,"ความเป็นกรด, ฤทธิ์เป็นกรด, สภาพเป็นกรด, มีรสเปรี้ยว",この液は酸性です。,ของเหลวนี้มีฤทธิ์เป็นกรด
酸素,さんそ,oxygen,JLPT JLPT_2 JLPT_3,DM##q[%RFu,"ออกซิเจน, ธาตุออกซิเจน, แก๊สออกซิเจน, สารออกซิเจน",人間は酸素が必要です。,มนุษย์ต้องการออกซิเจน
氏,し,"family name, lineage",JLPT JLPT_2 JLPT_3,LAOK_nHPS/,"นามสกุล, วงศ์ตระกูล, ตระกูล, แซ่",田中さんの友達です。,เป็นเพื่อนของคุณทานากะ
詩,し,poem; poetry,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,PI;rr><.*1,"บทกวี; กวีนิพนธ์, โคลง, กลอน, ฉันท์",有名な詩を読みました。,ฉันได้อ่านบทกวีที่มีชื่อเสียง
幸せ,しあわせ,"happiness, blessing",JLPT JLPT_2 JLPT_3,MYpn~@*11o,"ความสุข, พร, ความรื่นรมย์, ความเป็นสิริมงคล",幸せな家族です。,เป็นครอบครัวที่มีความสุข
ジーンズ,ジーンズ,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,o3hhzYEH)l,"ยีนส์, กางเกงยีนส์, ผ้ายีนส์, เดนิม",ジーンズをはきます。,ฉันสวมกางเกงยีนส์
ジェット機,ジェットき,jet plane,JLPT JLPT_2 JLPT_3,fS!]EX&j7m,"เครื่องบินเจ็ต, เครื่องบินไอพ่น, เครื่องบินความเร็วสูง, เจ็ต",ジェット機が飛びました。,เครื่องบินเจ็ตบินขึ้นไป
